M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
2803,1,1,r1,bf16,107.6501,0.9999,15.6996,91.9504,3184,ok
2949,5,13,r1,bf16,109.4299,1.1743,17.1668,92.2631,3330,ok
2390,5,26,r1,bf16,109.5401,1.1191,13.7636,95.7765,2771,ok
4518,11,65,r1,bf16,110.6700,1.4134,16.3896,94.2803,4899,ok
2583,13,32,r1,bf16,111.0401,1.1914,15.3478,95.6922,2964,ok
2023,1167,1,r1,bf16,116.2200,8.4826,23.3256,92.8944,24049,ok
3283,239,1,r1,bf16,121.4710,5.2370,23.4363,98.0348,7329,ok
4921,1637,9,r1,bf16,126.4000,18.9549,33.9257,92.4744,68938,ok
2204,2,2,r1,bf16,137.2300,1.1855,15.9436,121.2865,2585,ok
4678,23,87,r1,bf16,108.2510,1.4750,18.2863,89.9647,5059,ok
3206,2,8,r1,bf16,107.7499,1.0777,15.3588,92.3912,3587,ok
4620,528,1,r1,bf16,115.4500,8.5734,25.2709,90.1791,25009,ok
2369,41,2,r1,bf16,108.9501,1.5136,17.0537,91.8963,2750,ok
5289,1170,5,r1,bf16,123.3399,15.1764,30.2798,93.0601,56709,ok
3185,67,4,r1,bf16,110.1600,1.8827,17.4298,92.7302,3566,ok
3604,5,4,r1,bf16,110.3100,1.2509,15.7332,94.5769,3985,ok
3211,97,13,r1,bf16,109.4600,2.2482,17.0529,92.4071,3592,ok
2602,6,2,r1,bf16,108.6290,1.2254,16.3875,92.2415,2983,ok
4777,2,35,r1,bf16,109.6490,1.1561,16.5137,93.1353,5158,ok
2565,9,36,r1,bf16,108.0600,1.3007,16.1437,91.9162,2946,ok
4136,273,12,r1,bf16,112.2890,4.6033,19.7669,92.5220,13553,ok
5216,3,23,r1,bf16,108.4099,1.1543,16.6802,91.7297,5597,ok
2204,263,6,r1,bf16,110.5400,2.9748,18.8304,91.7096,7757,ok
4210,204,25,r1,bf16,110.1200,3.7720,18.5780,91.5420,9183,ok
2485,538,3,r1,bf16,113.9900,4.5682,19.8749,94.1152,14334,ok
